time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
16,0.065545281,0.211463263,0.118132991,-0.348940117,-0.768057867,0.061674267
16.1,0.065620628,0.206776222,0.079336769,-0.253845101,-0.752974995,0.081648188
16.2,0.065271254,0.200281172,0.039773662,-0.156393936,-0.731863201,0.100976449
16.3,0.064473792,0.192079116,-2.60E-04,-0.057277966,-0.704938702,0.119522507
16.4,0.063229081,0.182283906,-0.040456312,0.042806246,-0.672456029,0.137155188
16.5,0.061541992,0.17099491,-0.080501723,0.143127134,-0.634675105,0.153723346
16.6,0.059439641,0.158275011,-0.120081692,0.24288809,-0.591835145,0.169033748
16.7,0.05696377,0.144150121,-0.158888977,0.341220056,-0.544154501,0.18284882
16.8,0.054164263,0.128636277,-0.196629065,0.437211801,-0.49186428,0.194913042
16.9,0.051085677,0.111784055,-0.233021943,0.529972147,-0.435261622,0.204999737
17,0.047745885,0.093717755,-0.267799943,0.618697692,-0.374755724,0.212956881
17.1,0.044151772,0.074648244,-0.300703882,0.702714728,-0.310881396,0.218728897
17.2,0.040294523,0.054852821,-0.331480628,0.781478282,-0.244272431,0.222344989
17.3,0.036166923,0.034633468,-0.359884322,0.854533985,-0.175609179,0.223882822
17.4,0.031769272,0.014275472,-0.385681078,0.921468932,-0.105567097,0.223428321
17.5,0.027116085,-0.005974552,-0.408655746,0.981879287,-0.034789095,0.221052389
17.6,0.022232384,-0.025904992,-0.428617538,1.035368526,0.036111277,0.216812616
17.7,0.017143085,-0.045317177,-0.445402949,1.081575823,0.106525058,0.210775049
17.8,0.011881583,-0.063999571,-0.458875817,1.120214843,0.175819274,0.203042087
17.9,0.006452149,-0.081711657,-0.468925052,1.151108109,0.2433209,0.193772453
18,8.68E-04,-0.098185745,-0.475461776,1.174199698,0.30832277,0.183184126
18.1,-0.004869448,-0.113148738,-0.478417337,1.189541477,0.370113997,0.171536466
18.2,-0.010744309,-0.12636109,-0.477743148,1.197252014,0.428030853,0.159093022
18.3,-0.01672581,-0.137664576,-0.473413694,1.197453718,0.481518038,0.14607224
18.4,-0.022738962,-0.147024127,-0.465432665,1.19020646,0.530181748,0.132600252
18.5,-0.028680781,-0.154545101,-0.453840952,1.175462429,0.57381305,0.118684635
18.6,-0.034423317,-0.160451761,-0.438723845,1.153067093,0.612363331,0.104226159
18.7,-0.039837955,-0.165026317,-0.420214048,1.122817039,0.645873147,0.089072023
18.8,-0.044811222,-0.168526844,-0.398488304,1.084560509,0.67437606,0.073095497
18.9,-0.049272476,-0.171115759,-0.373757873,1.038303053,0.697816575,0.056271027
19,-0.053196567,-0.172828293,-0.346255949,0.984273375,0.716017055,0.038713245
19.1,-0.056589569,-0.173593258,-0.316226694,0.922923655,0.728707973,0.020663572
19.2,-0.059472345,-0.173293888,-0.283919372,0.854865036,0.735605237,0.002432673
19.3,-0.06187214,-0.171839162,-0.249588648,0.780772744,0.736498818,-0.015673695
19.4,-0.063778997,-0.16921519,-0.213499163,0.701299598,0.731315985,-0.033413942
19.5,-0.065176902,-0.165499667,-0.175930841,0.617030485,0.720138754,-0.050635077
19.6,-0.066035272,-0.160841071,-0.13718181,0.528483753,0.703178114,-0.067260821
19.7,-0.066318669,-0.155416999,-0.097567659,0.436148373,0.680723867,-0.083255884
19.8,-0.066015389,-0.149389095,-0.057417006,0.340535063,0.653089562,-0.098583142
19.9,-0.065124496,-0.142866885,-0.017064754,0.242224415,0.620569163,-0.113167043
20,-0.063677852,-0.135888548,0.023155939,0.141898874,0.583413361,-0.126871884
20.1,-0.061732524,-0.128422733,0.062921477,0.040349573,0.541831383,-0.139500451
