"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"14,-64.15753479,0.069813974,-1.529427933,-1.038885967,-0.182107011,-0.197119993"
"14.1,-64.15161239,0.085479895,-1.523664622,-1.063503783,-0.247359303,-0.192740828"
"14.2,-64.14581331,0.10092735,-1.521201359,-1.079945009,-0.310816456,-0.186630157"
"14.3,-64.14019577,0.116101878,-1.52206223,-1.087857996,-0.372104837,-0.178695785"
"14.4,-64.13481293,0.130874593,-1.526246754,-1.087046164,-0.430777283,-0.168934991"
"14.5,-64.12966684,0.145048754,-1.533735497,-1.077481445,-0.486323289,-0.157435954"
"14.6,-64.12476798,0.158392002,-1.544492584,-1.05927867,-0.538209302,-0.144351539"
"14.7,-64.12013349,0.170678667,-1.558465403,-1.032647763,-0.585931033,-0.129859572"
"14.8,-64.11577029,0.18172837,-1.575581592,-0.997840799,-0.629060423,-0.114123843"
"14.9,-64.11171978,0.191431467,-1.595744623,-0.955109001,-0.667276185,-0.097265709"
"15,-64.10803474,0.199756011,-1.618829081,-0.904679046,-0.700371653,-0.079352838"
"15.1,-64.10478003,0.206731621,-1.644676874,-0.846757334,-0.728235036,-0.060410355"
"15.2,-64.10200377,0.212409024,-1.673095876,-0.781569529,-0.7507999,-0.040457792"
"15.3,-64.09974737,0.21680231,-1.703863106,-0.709431098,-0.767976012,-0.019566219"
"15.4,-64.09800192,0.219834398,-1.736732817,-0.630828641,-0.779584665,0.002083071"
"15.5,-64.09673198,0.221312221,-1.771447829,-0.546474898,-0.785331149,0.024166036"
"15.6,-64.09585913,0.220951991,-1.80775057,-0.457302723,-0.784837988,0.046232517"
"15.7,-64.09529696,0.218451968,-1.84538897,-0.364387657,-0.777734964,0.067774486"
"15.8,-64.09500829,0.213585869,-1.884114993,-0.268822452,-0.763772777,0.088321897"
"15.9,-64.0949564,0.206276309,-1.923676932,-0.171595723,-0.742910871,0.107526041"
"16,-64.09516529,0.196616767,-1.963809767,-0.073523458,-0.715342254,0.125195433"
"16.1,-64.09569067,0.184837278,-2.004228886,0.024744126,-0.681450428,0.141274072"
"16.2,-64.09658468,0.171235951,-2.044630306,0.122657204,-0.641725354,0.155780847"
"16.3,-64.09789855,0.156112566,-2.084696943,0.219685324,-0.596683725,0.168744613"
"16.4,-64.09965361,0.139731118,-2.124107679,0.315262189,-0.546824251,0.180164849"
"16.5,-64.10185652,0.122317892,-2.162545466,0.408774869,-0.492626433,0.190007578"
"16.6,-64.10449846,0.104081561,-2.19970228,0.499588317,-0.434574681,0.198225537"
"16.7,-64.10759241,0.085235461,-2.235281013,0.587081226,-0.373184754,0.204783505"
"16.8,-64.11110402,0.066008508,-2.268995996,0.67067255,-0.309015527,0.209673868"
"16.9,-64.11505102,0.046642931,-2.300573737,0.749831827,-0.242664562,0.212918848"
"17,-64.11940445,0.027383684,-2.329754309,0.824076517,-0.174753391,0.214563776"
"17.1,-64.12415801,0.008464835,-2.356293754,0.892962764,-0.105909127,0.214666135"
"17.2,-64.12927528,-0.009904856,-2.379966906,0.956072271,-0.036744747,0.213282849"
"17.3,-64.13472086,-0.027555383,-2.400571,1.012997949,0.032159352,0.210457325"
"17.4,-64.14043795,-0.044363428,-2.417929584,1.063332281,0.10026737,0.206210868"
"17.5,-64.14636347,-0.06024857,-2.431896656,1.106669191,0.167085997,0.200544866"
"17.6,-64.15243514,-0.075155345,-2.442358901,1.142625655,0.232145643,0.193457598"
"17.7,-64.15857529,-0.089028047,-2.449235724,1.170877131,0.294973432,0.184970127"
"17.8,-64.16473605,-0.10179246,-2.452476633,1.191192355,0.355075308,0.175147074"
"17.9,-64.1708691,-0.113358272,-2.452057927,1.20344294,0.411943597,0.164097776"
"18,-64.17693449,-0.123644441,-2.447981145,1.20758086,0.46509218,0.151952686"
"18.1,-64.18286416,-0.132615471,-2.440274578,1.203591603,0.514104337,0.138825823"
"18.2,-64.18858601,-0.140307492,-2.428997697,1.191449554,0.558667532,0.124783421"
"18.3,-64.19402398,-0.146827769,-2.414245768,1.17110114,0.598575741,0.109837479"
"18.4,-64.1990741,-0.152324689,-2.396152455,1.142488517,0.633695826,0.093969462"
"18.5,-64.2036789,-0.156940539,-2.374888173,1.105603361,0.663914024,0.077174301"
"18.6,-64.20776469,-0.160766384,-2.350654714,1.060549406,0.689084979,0.059505762"
"18.7,-64.2113321,-0.163815612,-2.323677398,1.007587479,0.709004372,0.041105679"
"18.8,-64.21437228,-0.166023591,-2.294197366,0.94715151,0.723412176,0.022207873"
"18.9,-64.21691376,-0.167271676,-2.262465169,0.879827723,0.732025471,0.003116528"
"19,-64.21899372,-0.167428132,-2.228737394,0.806306926,0.734590794,-0.01583465"
"19.1,-64.22063708,-0.166394465,-2.193276353,0.727318724,0.730941552,-0.034331809"
"19.2,-64.2218505,-0.164142943,-2.156352612,0.643567531,0.721044234,-0.052124815"
"19.3,-64.22261533,-0.160731446,-2.11824878,0.555690424,0.705015755,-0.069050331"
"19.4,-64.22292508,-0.156287086,-2.079262252,0.464254254,0.683102427,-0.085023796"
"19.5,-64.22274545,-0.150963749,-2.039704481,0.369793512,0.655627724,-0.100002507"
"19.6,-64.22206563,-0.14489303,-1.999895697,0.272868992,0.622932089,-0.113937747"
"19.7,-64.22091224,-0.138154067,-1.960156591,0.174114302,0.585335739,-0.126741871"
"19.8,-64.21931135,-0.130778183,-1.920800284,0.074240448,0.543143633,-0.138289039"
"19.9,-64.21728978,-0.122782362,-1.882128004,-0.026003692,0.496684099,-0.148447291"
"20,-64.21488418,-0.114205535,-1.844429322,-0.12588775,0.446349447,-0.157117496"
"20.1,-64.21212603,-0.105118949,-1.807984583,-0.224732193,0.392604289,-0.164249281"
"20.2,-64.20904045,-0.095600964,-1.773065523,-0.321892622,0.335950485,-0.169820021"
"20.3,-64.20565186,-0.085695091,-1.739930829,-0.416709308,0.27687215,-0.173792696"
"20.4,-64.2020363,-0.07538747,-1.708818027,-0.508467029,0.215805176,-0.17608812"
"20.5,-64.1982537,-0.064630375,-1.679935998,-0.59640961,0.153162136,-0.176601825"
"20.6,-64.194358,-0.053406252,-1.653463214,-0.679818333,0.089405429,-0.175265656"
"20.7,-64.19036167,-0.04179393,-1.629553572,-0.758114499,0.025121342,-0.172118459"
"20.8,-64.18625919,-0.029989497,-1.608346521,-0.830921434,-0.038961964,-0.167336793"
"20.9,-64.18202482,-0.018258828,-1.589974577,-0.898037114,-0.102039238,-0.16119676"
"21,-64.17764648,-0.006841991,-1.574562473,-0.959325682,-0.163349724,-0.153980545"
"21.1,-64.17315232,0.004137015,-1.562217464,-1.014585541,-0.222290241,-0.145878833"
"21.2,-64.16859403,0.014701764,-1.553015234,-1.063473901,-0.278455633,-0.13694544"
"21.3,-64.16406406,0.024977343,-1.5469898,-1.105530897,-0.331585327,-0.127130324"
"21.4,-64.15964612,0.035094325,-1.54413261,-1.140289303,-0.38145027,-0.116369922"
"21.5,-64.15538072,0.045098438,-1.544401014,-1.167405154,-0.427748734,-0.104681053"
"21.6,-64.15128176,0.054914355,-1.547730816,-1.18673619,-0.47006824,-0.092206407"
"21.7,-64.14732746,0.064375674,-1.554046132,-1.198333958,-0.507927018,-0.079193042"
"21.8,-64.1435031,0.073293738,-1.563261966,-1.202368145,-0.540861016,-0.065926133"
"21.9,-64.13979073,0.08151969,-1.575280339,-1.199038108,-0.568500764,-0.052662549"
