"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"1807.3,-0.02419294,-0.167198658,-0.187561665,0.287135043,-0.104637618,0.085030272"
"1807.4,-0.019321572,-0.164698124,-0.160157833,0.279673301,-0.070057377,0.077420594"
"1807.5,-0.014289986,-0.16078186,-0.1312286,0.27002003,-0.034695187,0.069251735"
"1807.6,-0.009185921,-0.155517101,-0.101129684,0.258284884,0.001013719,0.060673584"
"1807.7,-0.004085671,-0.148985863,-0.070206795,0.244582004,0.036653657,0.051822703"
"1807.8,9.61E-04,-0.141278744,-0.038777504,0.22900341,0.071851642,0.042803125"
"1807.9,0.00592028,-0.132488251,-0.007133636,0.211606558,0.106284274,0.033679636"
"1808,0.01076876,-0.122707367,0.024450626,0.192423158,0.139665402,0.024487657"
"1808.1,0.015502799,-0.112029076,0.055698242,0.171483945,0.171723842,0.015253246"
"1808.2,0.020088065,-0.100548744,0.086322155,0.148843642,0.202185952,0.006011015"
"1808.3,0.02450167,-0.088365555,0.116023865,0.124592882,0.230772642,-0.003189336"
"1808.4,0.028697837,-0.075583935,0.144504395,0.098854862,0.257208676,-0.012287489"
"1808.5,0.03263842,-0.062310219,0.171473351,0.071776544,0.281232986,-0.021219258"
"1808.6,0.036277641,-0.048652649,0.196648922,0.043527625,0.302599472,-0.029916375"
"1808.7,0.03956591,-0.034719467,0.219753113,0.014311264,0.32106809,-0.038297641"
"1808.8,0.042438377,-0.020623207,0.240508404,-0.015621853,0.336396822,-0.046259324"
"1808.9,0.044818748,-0.006481171,0.258645859,-0.045971382,0.348347332,-0.053676149"
"1809,0.046642173,0.007583618,0.273929443,-0.076406925,0.356709671,-0.060418333"
"1809.1,0.047855247,0.021447182,0.286180344,-0.106604959,0.361336884,-0.066379213"
"1809.2,0.04844271,0.034989357,0.295294132,-0.136286206,0.362172195,-0.071499581"
"1809.3,0.048423637,0.048103333,0.301240768,-0.165234549,0.359254263,-0.075775653"
"1809.4,0.047847618,0.060693741,0.304044571,-0.193288977,0.352697415,-0.079246503"
"1809.5,0.046764243,0.072681427,0.303758945,-0.220314702,0.342658051,-0.08196816"
"1809.6,0.045219291,0.083994865,0.300445404,-0.24617005,0.329303323,-0.083987535"
"1809.7,0.043247093,0.09457016,0.294164982,-0.270685013,0.31279569,-0.085327659"
"1809.8,0.040866722,0.104341507,0.284987774,-0.293659261,0.293295527,-0.085988153"
"1809.9,0.038093437,0.113249779,0.273003426,-0.314877057,0.27097703,-0.085957417"
"1810,0.034953941,0.12123394,0.258337822,-0.334130666,0.246047186,-0.085229488"
"1810.1,0.031478752,0.128242493,0.241162624,-0.351243038,0.218760207,-0.083818667"
"1810.2,0.027732719,0.134233475,0.221693363,-0.366082852,0.189421343,-0.081766929"
"1810.3,0.023780692,0.139176369,0.200179424,-0.378566196,0.158377826,-0.079141108"
"1810.4,0.019691337,0.143054962,0.176887836,-0.388642966,0.125996433,-0.076018825"
"1810.5,0.015533317,0.145861626,0.152078476,-0.396269833,0.092633373,-0.072466526"
"1810.6,0.011340965,0.147595406,0.125987854,-0.401380522,0.058607399,-0.068517896"
"1810.7,0.007125724,0.148254395,0.098827209,-0.403868845,0.024190094,-0.064164471"
"1810.8,0.002879966,0.147835732,0.070797291,-0.403597666,-0.010378618,-0.05936661"
"1810.9,-0.001400124,0.146332741,0.042118397,-0.400435101,-0.044854903,-0.054083172"
"1811,-0.005691659,0.143743515,0.013052311,-0.394302338,-0.078953925,-0.048306139"
"1811.1,-0.009945046,0.140077591,-0.016090546,-0.385207168,-0.11233412,-0.042080952"
"1811.2,-0.014087807,0.135360718,-0.044972572,-0.373243264,-0.144615062,-0.035499845"
"1811.3,-0.018047463,0.129633904,-0.073264751,-0.358554676,-0.175421176,-0.02867129"
"1811.4,-0.021774422,0.1229496,-0.100676689,-0.341287131,-0.204426214,-0.02168403"
"1811.5,-0.025238167,0.115362167,-0.126967106,-0.321556742,-0.231372711,-0.014588277"
"1811.6,-0.028431069,0.10692215,-0.151925716,-0.299455263,-0.256056375,-0.007405384"
"1811.7,-0.031349312,0.097683907,-0.17534605,-0.275086109,-0.278289468,-1.58E-04"
"1811.8,-0.03396238,0.087705612,-0.197007332,-0.248603865,-0.29787106,0.007101477"
"1811.9,-0.03623594,0.077058792,-0.216680679,-0.220227897,-0.314587121,0.014284939"
"1812,-0.0381204,0.065824509,-0.234156761,-0.190219234,-0.328240589,0.021289401"
"1812.1,-0.039592873,0.054095268,-0.249270592,-0.15883741,-0.338690405,0.028029345"
"1812.2,-0.040653359,0.04196167,-0.26191679,-0.126308247,-0.345870187,0.034456517"
"1812.3,-0.041317116,0.029511452,-0.272027645,-0.092826059,-0.349773614,0.040552317"
"1812.4,-0.041595589,0.016830444,-0.279548321,-0.058587969,-0.350416532,0.046298407"
"1812.5,-0.041496407,0.004009247,-0.284416351,-0.023833333,-0.347805292,0.051647823"
"1812.6,-0.040992867,-0.008854866,-0.286565933,0.011143432,-0.341935438,0.056519549"
"1812.7,-0.040065896,-0.021654129,-0.285957012,0.04601986,-0.332823726,0.060822601"
"1812.8,-0.038719308,-0.034276485,-0.282606754,0.080496114,-0.320550836,0.064493968"
"1812.9,-0.03698362,-0.046615601,-0.276600513,0.114334845,-0.305283149,0.067523357"
"1813,-0.034919869,-0.058577061,-0.26807085,0.147361852,-0.287255425,0.069946166"
