activation,apply_batchnorm,conv_kernel_sizes,conv_layers,dropout,fc_layers,lr,lr_patience,target_weights_0,target_weights_1,target_weights_2,target_weights_3,target_weights_4,loss,status,training_time
relu,True,"[5,]*4","[64,]*4",0.28417950948312015,"[256,]*2",0.0031461755259120806,10,0.8395562124215384,0.7677180555863954,1.0998277996493064,0.7318308065188881,0.9584742199416492,0.0046314843072506945,ok,819.3673367500305
relu,True,"[11,]*4","[64,]*4",0.30123104512245397,"[2048,]*2",0.0005092284753609606,10,0.8768519614119399,0.5007475380155546,1.1746705977202974,1.1916031113105954,0.8966307246233189,0.005573420662825045,ok,1364.6839261054993
elu,True,"[13, 11, 9, 7]","[32,]*4",0.06697867165592208,"[128,]*2",9.744607894946603e-05,10,1.2686818069385828,0.5759432653819969,1.0578546450185868,0.6090204710091571,0.7855610424758157,0.004108952480907503,ok,629.6472685337067
relu,False,"[7,]*4","[64,]*4",0.16982563453472593,"[1024,]*2",0.0006785271724492143,5,0.9286471722858285,0.7940707468127512,0.6898506773419263,0.6765849782140049,0.5508852716192469,0.002459659847724987,ok,836.4744729995728
relu,True,"[11, 9, 7, 5]","[8,]*4",0.20068656112808209,"[2048, 1024]",0.00017600805939142576,10,0.815648514082399,0.617563205169456,0.9500449484736034,1.310084929612992,1.011395433132705,0.00753342901895705,ok,395.560174703598
relu,True,"[13, 11, 9, 7]","[16,]*4",0.22933864663655262,"[256,]*2",0.0005920968202601158,20,0.7720265250853148,0.6640974529152602,0.913682243843349,0.5223391339094529,1.2953280173236528,0.005624534660264065,ok,451.10758233070374
relu,True,"[9,]*4","[64,]*4",0.050033848845423584,"[2048, 1024]",0.002694068054098421,10,1.2092285400409324,0.7283961193524743,0.7465171267781501,1.4970072546962343,0.5198726443664439,0.007349565845767134,ok,1171.4342930316925
elu,False,"[13, 11, 9, 7]","[64,]*4",0.1333062976718118,"[256,]*2",0.0002747004980181729,10,0.720965849864023,0.5402210045565843,1.229201688097918,0.6384000225127751,0.7454104821935532,0.003262181594771774,ok,1180.3744645118713
relu,True,"[13, 11, 9, 7]","[64,]*4",0.3329621230347656,"[1024, 512]",0.0008018944342211015,10,1.0188544426034547,0.9645028537463867,1.1225169070474397,1.0910523868406268,0.8691251369583026,0.005056785370566343,ok,1310.0017170906067
relu,True,"[5,]*4","[32,]*4",0.15697157201613934,"[512, 1024]",0.0022066206767029383,5,0.9009816347557617,0.5150264647508042,0.9833283813246712,0.5687437463358489,0.6985713934939991,0.002844132225666391,ok,482.71515107154846
relu,True,"[11,]*4","[64,]*4",0.1468105299803612,"[1024, 2048]",0.00032677795456967866,10,1.0545502793914745,1.302598601506771,0.7828737614203134,0.7654994581706023,0.5725534852088844,0.002716764868972333,ok,1330.387182712555
relu,True,"[13, 11, 9, 7]","[8,]*4",0.10147118369115316,"[2048,]*2",0.001577527001668631,20,1.4340970312466308,0.9276793577853018,1.0318584069070134,0.5467110876139578,0.6609780393790098,0.0033916322342855366,ok,466.4861295223236
elu,False,"[7,]*4","[16,]*4",0.18089456058379755,"[512,]*2",0.0019129090771905308,10,0.6282483866153741,0.8122914464261948,0.88992303561041,1.0179803008782295,0.6228136617399112,0.004606688566701977,ok,388.98890566825867
relu,True,"[13, 11, 9, 7]","[64,]*4",0.3648810672682703,"[256,]*2",0.0002003137762084022,10,0.9454632322434855,0.5500584117601488,0.6487882719069045,0.9745604843178146,1.3232847078101493,0.006801717301928683,ok,1296.3116900920868
relu,True,"[11, 9, 7, 5]","[64,]*4",0.2677356866173211,"[128,]*2",0.0002305971902865186,10,0.7584588387068066,0.5985095586333953,1.436804446212856,0.6989801389618681,1.0931215813763533,0.00453631479391142,ok,1081.2780237197876
relu,True,"[9,]*4","[64,]*4",0.21998085077783264,"[2048, 1024]",0.0012834148673728015,5,0.6591888468336304,0.6819389974980109,0.8093378812637063,0.8526606571435471,1.2678233003111665,0.0061961828093779715,ok,1174.3256084918976
relu,True,"[13, 11, 9, 7]","[32,]*4",0.29780409507970074,"[1024,]*2",0.00014065108732972905,10,1.0918341085722307,1.007950259499738,1.1722832770622416,0.8877246239200975,0.6862377381445636,0.003441628178973731,ok,639.8907182216644
elu,True,"[13, 11, 9, 7]","[64,]*4",0.08458659008929267,"[256,]*2",0.0005468582276420701,20,0.6928900930246746,1.377344520990122,1.2104081867027867,0.6577781119260797,0.9127555095595883,0.003606298276664395,ok,1303.6734216213226
relu,False,"[5,]*4","[8,]*4",0.2456419301783012,"[2048, 1024]",0.00011013739658716145,10,1.1542938007106902,0.6412008060316132,1.0195438699068267,0.817883319572132,0.542774491231411,0.00565407863867126,ok,387.5014111995697
relu,True,"[13, 11, 9, 7]","[16,]*4",0.11326030392457426,"[256,]*2",0.00035410085190426175,10,1.2634682879446064,0.7143214946971739,1.073057360564782,0.5959781403786144,0.6045925484397573,0.002499361528622869,ok,452.16847944259644
relu,True,"[11,]*4","[64,]*4",0.4620382520628896,"[512, 1024]",7.567555081224467e-05,10,0.8808827054389208,0.857330574976186,0.9484901937246042,0.9301407840509618,0.767710198008426,0.003736571947994985,ok,1312.515990972519
relu,True,"[13, 11, 9, 7]","[64,]*4",0.4961699763069197,"[1024, 512]",0.00041049157963983995,5,1.187953419257207,1.0629778299629429,1.1400461870390426,0.7998608461077872,0.7211679395132918,0.0035925196348934583,ok,1312.2444260120392
elu,True,"[7,]*4","[64,]*4",0.07247921987424545,"[1024, 2048]",0.0007691180443018804,10,1.368214131616893,1.152058257562879,0.8527245962859309,1.1288475511398839,0.5008890747188111,0.004384165862575173,ok,1016.2944183349609
relu,False,"[11, 9, 7, 5]","[32,]*4",0.16523976066393836,"[512,]*2",0.00047725208429842914,20,0.9900455504636052,1.1058254919614692,1.2681703299077627,0.5224662575540117,1.0375390796657584,0.0042236355059829195,ok,485.3034632205963
